"code_commune","annee_etablissement","nb_dpe","nb_passoires","nb_logements_performants","nb_etiquette_a","nb_etiquette_b","nb_etiquette_c","nb_etiquette_d","nb_etiquette_e","nb_etiquette_f","nb_etiquette_g","conso_ep_moyenne","conso_ep_mediane","emission_ges_moyenne","surface_moyenne_m2","cout_annuel_moyen_eur","taux_passoires_pct","taux_performants_pct","nom_commune","code_departement","code_region","centroide_x_lambert93","centroide_y_lambert93","latitude","longitude"
"01075",2024,41,3,6,2,4,9,18,5,2,1,189.6,186.1,19.2,110.9,1900,7.32,14.63,"Chaleins","01",84,840541.255,6550827.4350000005,46.042648,4.817513
"01075",2025,39,7,6,2,4,9,12,5,6,1,201.9,189.1,24.3,95.7,2137,17.95,15.38,"Chaleins","01",84,840541.255,6550827.4350000005,46.042648,4.817513
"01075",2026,14,2,2,0,2,3,5,2,1,1,205.4,191,24.7,79.8,1591,14.29,14.29,"Chaleins","01",84,840541.255,6550827.4350000005,46.042648,4.817513
"01076",2024,7,3,0,0,0,0,2,2,2,1,319.6,312.7,26.4,102.7,3090,42.86,0,"Chaley","01",84,,,,
"01076",2025,6,3,0,0,0,1,1,1,1,2,382,329.1,13.5,73.7,2364,50,0,"Chaley","01",84,,,,
"01076",2026,2,2,0,0,0,0,0,0,0,2,691,691,77,113.1,6047,100,0,"Chaley","01",84,,,,
"01077",2024,10,3,0,0,0,1,2,4,3,0,254.8,246.6,43.9,106,2317,30,0,"Challes-la-Montagne","01",84,890269.58,6561377.88,46.125479,5.464506
"01077",2025,4,3,1,0,1,0,0,0,0,3,378.9,462.8,70.3,111.6,4324,75,25,"Challes-la-Montagne","01",84,890269.58,6561377.88,46.125479,5.464506
"01077",2026,2,0,0,0,0,2,0,0,0,0,165.5,165.5,18,214.3,3545,0,0,"Challes-la-Montagne","01",84,890269.58,6561377.88,46.125479,5.464506
"01078",2024,40,7,3,0,3,12,10,8,5,2,228.9,220.9,23.1,108.6,2469,17.5,7.5,"Challex","01",84,929477.0729729729,6568861.888378378,46.180672,5.975561
"01078",2025,39,2,7,4,3,11,12,7,2,0,186.3,181.9,13.8,142.9,3008,5.13,17.95,"Challex","01",84,929477.0729729729,6568861.888378378,46.180672,5.975561
"01078",2026,26,8,3,1,2,8,5,2,3,5,247.1,216.3,24.7,110.5,2662,30.77,11.54,"Challex","01",84,929477.0729729729,6568861.888378378,46.180672,5.975561
"01079",2024,20,7,0,0,0,2,6,5,3,4,324.3,248.9,49.1,114.1,2855,35,0,"Champagne-en-Valromey","01",84,907650.9249999999,6537649.3675,45.906822,5.679052
"01079",2025,23,9,1,1,0,5,6,2,4,5,263.9,216.6,22.8,82.8,2499,39.13,4.35,"Champagne-en-Valromey","01",84,907650.9249999999,6537649.3675,45.906822,5.679052
"01079",2026,14,0,9,0,9,1,0,4,0,0,149.1,94.5,9.8,75.2,1280,0,64.29,"Champagne-en-Valromey","01",84,907650.9249999999,6537649.3675,45.906822,5.679052
"01080",2024,12,2,1,0,1,1,3,5,0,2,283,264.2,41.5,171.5,5391,16.67,8.33,"Champdor-Corcelles","01",84,,,,
"01080",2025,30,8,0,0,0,0,16,6,4,4,314,241.9,33.1,87.2,3036,26.67,0,"Champdor-Corcelles","01",84,,,,
"01080",2026,7,2,2,1,1,1,0,2,1,1,300.6,297,26.2,125.7,3884,28.57,28.57,"Champdor-Corcelles","01",84,,,,
"01081",2024,33,2,0,0,0,12,17,2,2,0,195.2,184.7,14.6,84.3,1691,6.06,0,"Champfromier","01",84,917132.0649999997,6569910.124999999,46.194181,5.816111
"01081",2025,24,2,1,0,1,5,10,6,1,1,226.9,216.2,29.3,99.2,2636,8.33,4.17,"Champfromier","01",84,917132.0649999997,6569910.124999999,46.194181,5.816111
"01081",2026,43,2,1,1,0,7,30,3,0,2,191,171,30.1,84.9,2025,4.65,2.33,"Champfromier","01",84,917132.0649999997,6569910.124999999,46.194181,5.816111
"01082",2024,8,3,0,0,0,1,3,1,3,0,269.6,255.1,29.9,102.2,2024,37.5,0,"Chanay","01",84,915571.23,6548806.56,46.004764,5.786231
"01082",2025,10,1,1,1,0,2,3,3,1,0,220.1,207.1,14.3,90.9,1852,10,10,"Chanay","01",84,915571.23,6548806.56,46.004764,5.786231
"01082",2026,4,1,0,0,0,0,1,2,1,0,243.4,240.8,42.9,162,4987,25,0,"Chanay","01",84,915571.23,6548806.56,46.004764,5.786231
"01083",2024,16,2,0,0,0,2,9,3,2,0,226.3,202.4,19.1,126.6,2712,12.5,0,"Chaneins","01",84,,,,
"01083",2025,22,4,2,1,1,8,6,2,2,2,211.2,176.8,17.8,133.2,3286,18.18,9.09,"Chaneins","01",84,,,,
"01083",2026,7,1,3,1,2,1,1,1,1,0,164.3,152,7.7,136.3,2430,14.29,42.86,"Chaneins","01",84,,,,
"01084",2024,11,0,4,4,0,3,3,1,0,0,148.9,153,7.3,124.2,1513,0,36.36,"Chanoz-Châtenay","01",84,856377.9766666666,6567672.923333333,46.190823,5.027825
"01084",2025,12,1,2,0,2,4,5,0,1,0,163.2,151.5,16.7,135.4,2339,8.33,16.67,"Chanoz-Châtenay","01",84,856377.9766666666,6567672.923333333,46.190823,5.027825
"01084",2026,3,0,2,1,1,0,0,1,0,0,137.1,89,6.5,110.4,1257,0,66.67,"Chanoz-Châtenay","01",84,856377.9766666666,6567672.923333333,46.190823,5.027825
"01085",2024,6,1,0,0,0,1,3,1,0,1,264.6,211.8,19.8,174,3221,16.67,0,"La Chapelle-du-Châtelard","01",84,,,,
"01085",2025,9,0,0,0,0,4,5,0,0,0,190.1,184.4,7.2,104.6,1779,0,0,"La Chapelle-du-Châtelard","01",84,,,,
"01085",2026,1,0,0,0,0,0,1,0,0,0,125,125,,91.4,1832,0,0,"La Chapelle-du-Châtelard","01",84,,,,
"01087",2024,6,4,0,0,0,0,1,1,0,4,421.6,498.7,105,126.1,5562,66.67,0,"Charix","01",84,907031.5,6568320.52,46.183043,5.684514
"01087",2025,10,5,1,0,1,0,0,4,4,1,325.1,284.7,42.6,127.5,3792,50,10,"Charix","01",84,907031.5,6568320.52,46.183043,5.684514
"01087",2026,5,1,0,0,0,0,3,1,0,1,376,246,15.8,67.8,2267,20,0,"Charix","01",84,907031.5,6568320.52,46.183043,5.684514
"01088",2024,15,1,4,2,2,7,2,1,1,0,145.1,111.7,11.2,113.2,1356,6.67,26.67,"Charnoz-sur-Ain","01",84,872306.3816666664,6532085.0683333315,45.866614,5.221293
"01088",2025,19,0,2,1,1,13,3,1,0,0,129.2,107.8,16.9,82.4,1437,0,10.53,"Charnoz-sur-Ain","01",84,872306.3816666664,6532085.0683333315,45.866614,5.221293
"01088",2026,4,0,3,0,3,0,0,1,0,0,144.5,106.5,,62.5,1141,0,75,"Charnoz-sur-Ain","01",84,872306.3816666664,6532085.0683333315,45.866614,5.221293
"01089",2024,43,3,5,3,2,22,8,5,3,0,161.2,136.8,20.9,94.4,1481,6.98,11.63,"Château-Gaillard","01",84,879327.61875,6543380.514375,45.966471,5.316027
"01089",2025,37,6,2,2,0,18,7,4,5,1,190.5,170.2,19,103.6,2050,16.22,5.41,"Château-Gaillard","01",84,879327.61875,6543380.514375,45.966471,5.316027
"01089",2026,29,3,3,1,2,13,8,2,2,1,174.7,163.4,15.8,91,1729,10.34,10.34,"Château-Gaillard","01",84,879327.61875,6543380.514375,45.966471,5.316027
"01090",2024,16,0,1,1,0,7,8,0,0,0,143.5,161.4,23.2,109.7,1753,0,6.25,"Châtenay","01",84,870190.443,6550660.611999999,46.034354,5.200702
"01090",2025,9,2,2,1,1,2,1,2,2,0,218.7,248.2,17.2,96.2,2456,22.22,22.22,"Châtenay","01",84,870190.443,6550660.611999999,46.034354,5.200702
"01090",2026,3,1,0,0,0,1,0,1,1,0,281,324.9,8.3,110,2758,33.33,0,"Châtenay","01",84,870190.443,6550660.611999999,46.034354,5.200702
"01092",2024,42,7,11,5,6,7,12,5,4,3,193.4,189,23.5,104.4,1970,16.67,26.19,"Châtillon-la-Palud","01",84,874631.7546153846,6544280.846153847,45.975799,5.255745
"01092",2025,24,5,1,0,1,5,11,2,3,2,233.5,207.1,15.7,113.2,2596,20.83,4.17,"Châtillon-la-Palud","01",84,874631.7546153846,6544280.846153847,45.975799,5.255745
