"code_commune","nom_commune","code_departement","code_region","centroide_x_lambert93","centroide_y_lambert93","nb_points_geocodes_precis","latitude","longitude"
"01127","Courmangoux","01",84,881560.19,6583172.88,1,46.324043,5.3602
"01128","Courtes","01",84,861466.7300000001,6598251.360833335,12,46.46488,5.104348
"01129","Crans","01",84,,,0,,
"01130","Bresse Vallons","01",84,867411.2852380953,6582325.947142856,21,46.320079,5.176064
"01133","Cressin-Rochefort","01",84,,,0,,
"01134","Crottet","01",84,845523.075,6576739.625,4,46.274866,4.889934
"01135","Crozet","01",84,932067.9654878045,6580018.775975606,82,46.280181,6.014645
"01136","Cruzilles-lès-Mépillat","01",84,844949.4238461537,6571258.751923076,26,46.225649,4.880791
"01138","Culoz-Béon","01",84,915699.3549193548,6531254.587903227,62,45.846767,5.779902
"01139","Curciat-Dongalon","01",84,865825.2955,6599699.047,20,46.476851,5.16164
"01140","Curtafond","01",84,861378.4315384616,6576744.010000001,13,46.271303,5.09576
"01141","Cuzieu","01",84,,,0,,
"01142","Dagneux","01",84,860856.9639751554,6530087.472608691,161,45.851436,5.073087
"01143","Divonne-les-Bains","01",84,941330.3463241106,6588819.044769428,759,46.356116,6.139385
"01145","Dompierre-sur-Veyle","01",84,870611.7496153847,6554809.986538461,26,46.071598,5.207647
"01146","Dompierre-sur-Chalaronne","01",84,,,0,,
"01147","Domsure","01",84,875878.6579999998,6593885.022,5,46.421967,5.290423
"01148","Dortan","01",84,904437.0914814812,6583022.924074075,27,46.316149,5.657312
"01149","Douvres","01",84,883654.3028571428,6546087.581428572,7,45.98968,5.372923
"01150","Drom","01",84,882419.6033333334,6571433.920000001,3,46.218152,5.366793
"01151","Druillat","01",84,879599.5825,6554496.9775,4,46.066458,5.323761
"01152","Échallon","01",84,911160.8775,6571702.24,4,46.2122,5.739537
"01153","Échenevex","01",84,933759.6160317459,6583353.64349206,63,46.309605,6.038264
"01155","Évosges","01",84,893821.53,6543442.89,2,45.96305,5.503121
"01156","Faramans","01",84,865418.11,6536308.72,6,45.906344,5.134008
